model,attacker,budget,samples,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,pr_auc
min_indicpass_baseline,m4,1000000.0,1400,0.6742857142857143,0.21379310344827587,1.0,0.3522727272727273,0.8213166144200628,0.37066231582495196,0.958868439680453,0.6070368294599894
min_indicpass_baseline,m4,100000000.0,1400,0.5057142857142857,0.2653927813163482,1.0,0.41946308724832215,0.6991304347826087,0.3251085355129582,0.8528139130434783,0.5088279235061189
min_indicpass_baseline,m4,10000000000.0,1400,0.45071428571428573,0.32838427947598253,1.0,0.49441157133464825,0.62451171875,0.28596395244168427,0.7842718895445479,0.5087908515386514
min_indicpass_baseline,m5,1000.0,1400,0.9235714285714286,0.009433962264150943,0.3333333333333333,0.01834862385321101,0.6290861369601527,0.045128236173578785,0.9401097590073968,0.02691511387163561
min_indicpass_baseline,m5,10000.0,1400,0.865,0.05670103092783505,0.6470588235294118,0.10426540284360189,0.7573688911573306,0.16317254188625352,0.8987707881417208,0.06804614205617716
min_indicpass_baseline,m5,100000.0,1400,0.7857142857142857,0.14285714285714285,1.0,0.25,0.8888888888888888,0.3333333333333333,0.8847777777777778,0.15072709187244154
min_indicpass_baseline,m5,1000000.0,1400,0.675,0.21551724137931033,1.0,0.3546099290780142,0.8215686274509804,0.3722998348169563,0.893041568627451,0.30973137061606953
min_indicpass_baseline,m5,100000000.0,1400,0.5928571428571429,0.39490445859872614,1.0,0.5662100456621005,0.7227626459143969,0.41945193307659134,0.8667432847997991,0.5939181696879281
min_indicpass_baseline,m5,10000000000.0,1400,0.7,0.6331877729257642,1.0,0.7754010695187166,0.6888888888888889,0.48908513550501137,0.8719632183908046,0.8349919510325677
min_pcfg_baseline,m4,1000.0,1400,0.9214285714285714,0.02857142857142857,0.2727272727272727,0.05172413793103448,0.5996465737286472,0.06680520450132989,0.899371686628706,0.038447534858277406
min_pcfg_baseline,m4,10000.0,1400,0.8592857142857143,0.12560386473429952,0.6190476190476191,0.20883534136546184,0.7428816887579774,0.23345001445064134,0.8982660074339014,0.16985315632569645
min_pcfg_baseline,m4,100000.0,1400,0.7928571428571428,0.17579250720461095,0.9384615384615385,0.29611650485436897,0.8621146643618554,0.35293481115681946,0.9176145203111495,0.3159644091641477
min_pcfg_baseline,m4,1000000.0,1400,0.6985714285714286,0.22509225092250923,0.9838709677419355,0.3663663663663664,0.8273586813631307,0.38189744329523934,0.9325829204166245,0.5346810217152691
min_pcfg_baseline,m4,100000000.0,1400,0.4928571428571429,0.2568710359408034,0.972,0.40635451505016723,0.6803478260869565,0.29511163841117727,0.7967478260869565,0.44150649385413476
min_pcfg_baseline,m4,10000000000.0,1400,0.4357142857142857,0.3218588640275387,0.9946808510638298,0.4863459037711313,0.6125748005319149,0.2656583922640877,0.7359619140625,0.45786072598699684
min_pcfg_baseline,m5,1000.0,1400,0.9271428571428572,0.02857142857142857,1.0,0.05555555555555556,0.9634931997136722,0.16274312795913726,0.9448818897637795,0.028306878306878308
min_pcfg_baseline,m5,10000.0,1400,0.8642857142857143,0.0821256038647343,1.0,0.1517857142857143,0.9313087490961678,0.26616345155436333,0.9096167751265365,0.07970811513011002
min_pcfg_baseline,m5,100000.0,1400,0.7878571428571428,0.1440922190201729,1.0,0.2518891687657431,0.89,0.3352490579192354,0.8960222222222223,0.1725217653134023
min_pcfg_baseline,m5,1000000.0,1400,0.7021428571428572,0.23062730627306274,1.0,0.3748125937031484,0.8364705882352941,0.3939525489315147,0.9008658823529412,0.3330318181388032
min_pcfg_baseline,m5,100000000.0,1400,0.59,0.39323467230443976,1.0,0.5644916540212443,0.7208171206225681,0.41673240350907564,0.8683802455964186,0.5939157467583183
min_pcfg_baseline,m5,10000000000.0,1400,0.6878571428571428,0.6239242685025818,1.0,0.7684154742978273,0.6762962962962963,0.46903206224389626,0.8670518518518519,0.8282305917858043
min_all,m4,1000.0,1400,0.9257142857142857,0.09565217391304348,1.0,0.17460317460317462,0.9625629949604031,0.2974732123727807,0.945906145690163,0.0693312344479821
min_all,m4,10000.0,1400,0.8614285714285714,0.17796610169491525,1.0,0.302158273381295,0.9285714285714286,0.39056673294247163,0.9322357809103022,0.21312947694493029
min_all,m4,100000.0,1400,0.7785714285714286,0.16981132075471697,0.9692307692307692,0.2889908256880734,0.8692595793719389,0.3520987111048592,0.9447651973494671,0.363760150848181
min_all,m4,1000000.0,1400,0.665,0.209106239460371,1.0,0.3458856345885635,0.8162225705329154,0.36365949061348546,0.958868439680453,0.6070368294599894
min_all,m4,100000000.0,1400,0.4735714285714286,0.25329280648429586,1.0,0.40420371867421184,0.6795652173913044,0.3016043032186583,0.8528139130434783,0.5088279235061189
min_all,m4,10000000000.0,1400,0.42428571428571427,0.31810490693739424,1.0,0.48267008985879334,0.6064453125,0.2602336497332132,0.7842537088597075,0.5087827230788879
min_all,m5,1000.0,1400,0.92,0.02608695652173913,1.0,0.05084745762711864,0.9599141016463851,0.15490486869936632,0.9401097590073968,0.02691511387163561
min_all,m5,10000.0,1400,0.8435714285714285,0.07203389830508475,1.0,0.13438735177865613,0.9208242950108461,0.2462259712992123,0.8987707881417208,0.06804614205617716
min_all,m5,100000.0,1400,0.7707142857142857,0.1347708894878706,1.0,0.23752969121140144,0.8811111111111112,0.320507982546941,0.8847777777777778,0.15072709187244154
min_all,m5,1000000.0,1400,0.6657142857142857,0.21079258010118043,1.0,0.3481894150417827,0.8164705882352941,0.36526607239177283,0.893041568627451,0.30973137061606953
min_all,m5,100000000.0,1400,0.5607142857142857,0.3768996960486322,1.0,0.5474613686534217,0.7008754863813229,0.38912699664953027,0.8667432847997991,0.5939181696879281
min_all,m5,10000000000.0,1400,0.6735714285714286,0.6133671742808798,1.0,0.7603565810173047,0.6614814814814814,0.4450785099170404,0.8720602809706258,0.835046408490886
